district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Palghar,P99000007649,MAHAVIR DARSHAN,Mahavir Realtors,401303,"('19.469757289261008','72.799995514677450')",On-Going Project,12/31/2020,12/30/2021,12/30/2025,Residential,1775.0,0.0,3223.0,02/07/2023,,,55.0,39.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000007600,JAY VIJAY INDUSTRIAL ESTATE,JAY JINENDRA REALTORS PRIVATE LIMITED,401202,"('19.372959500000000','72.822006400000006')",On-Going Project,07/31/2019,01/31/2020,01/30/2022,Commercial,5058.97,6165.87,27815.59,12/25/2023,5.0,1.0,187.0,139.0,0.0,2.0,0.0,10.0,0.0,113.0,0.0,0.0,0.0,0.0
Palghar,P99000003180,R.K.COMPLEX,SHREE ENTERPRISES,401501,"('19.805598000000000','72.762349000000000')",On-Going Project,11/08/2020,12/22/2022,,Others,4150.0,488.0,1626.63,07/30/2017,,,104.0,22.0,0.0,3.0,0.0,9.0,2.0,5.0,2.0,0.0,0.0,0.0
Palghar,P99000011391,RITU GARDENIA PHASE 1,RITU BUILDERS AND DEVELOPERS,401202,"('19.357251999999999','72.855923000000004')",On-Going Project,12/31/2018,12/30/2021,,Others,10736.72,1027.21,10736.72,10/21/2022,,1.0,310.0,289.0,0.0,2.0,2.0,16.0,2.0,10.0,34.0,0.0,0.0,0.0
Palghar,P99000011525,SOLARIS WING E-1 HDIL LAYOUT,SUNSHINE DEVELOPERS,401303,"('19.434428900000000','72.922432900000004')",On-Going Project,12/30/2020,06/30/2021,12/31/2024,Residential,406.96,1581.15,6715.42,02/15/2024,,,114.0,68.0,0.0,1.0,0.0,16.0,1.0,0.0,7.0,0.0,0.0,0.0
Palghar,P99000011795,INDUS,AQUARIUS REALTY PVT LTD,401203,"('19.416676100000000','72.798370500000004')",On-Going Project,12/31/2019,06/30/2021,01/31/2026,Residential,1017.0,0.0,271.21,04/08/2023,1.0,,57.0,25.0,0.0,1.0,0.0,9.0,1.0,0.0,20.0,0.0,0.0,0.0
Palghar,P99000009956,NINE STAR RESIDENCY KRITIKA,YOGESH  BIDYE,401404,"('19.575006999999999','72.807000000000002')",On-Going Project,07/31/2018,12/31/2018,,Residential,745.17,0.0,1277.41,02/12/2020,,,30.0,2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000009880,Thakur ICON B,Pawan Abhimanyu Singh,401504,"('19.815775500000001','72.725232899999995')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Others,1683.33,168.33,1262.5,12/21/2019,,,32.0,16.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000007053,VRINDAVAN NAGARI,VRINDAVAN REALITY,401501,"('19.789241600000000','72.689764499999995')",On-Going Project,03/31/2023,03/30/2025,,Residential,23669.0,2366.0,23670.18,08/14/2021,,1.0,422.0,162.0,0.0,8.0,0.0,38.0,8.0,70.0,8.0,0.0,0.0,0.0
Palghar,P99000008651,Thakur ICON C,Pawan Abhimanyu Singh,401504,"('19.815775500000001','72.725232899999995')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Others,1462.61,146.62,1096.96,12/21/2019,,,24.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
