district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600005824,AAKAR ELITE,AAKAR BUILDCON,422002,"('18.764831500000000','73.615354100000000')",On-Going Project,12/18/2019,12/18/2019,,Residential,631.91,0.0,1386.0,09/14/2023,,,14.0,14.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600009915,ORBIT CASA,B-ORBIT VENTURES,422005,"('19.864021500000000','75.263948000000000')",On-Going Project,12/31/2017,12/31/2018,,Residential,740.0,0.0,738.46,02/27/2020,,,12.0,4.0,0.0,1.0,0.0,7.0,1.0,0.0,23.0,0.0,0.0,0.0
Nashik,P51600008186,GOVIND PLAZA,GOVIND BHAUSAHEB MADHWAI,422003,"('19.188802300000000','72.819704300000000')",On-Going Project,09/20/2017,12/31/2017,,Residential,501.59,0.0,701.32,10/20/2022,,,20.0,14.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600010637,Prabhat Prestige,Prabhat Developers,422013,"('20.011938800000000','79.225727400000000')",On-Going Project,08/01/2019,08/01/2019,,Residential,730.0,0.0,1022.0,08/04/2021,,,20.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,18.0,0.0,0.0,0.0
Nashik,P51600004852,HARI LAXMI PHASE I,KBC GLOBAL LIMITED,422101,"('21.146112000000000','79.404271200000000')",New Project,12/30/2023,,,Residential,4791.83,479.4,2397.01,03/19/2024,,,60.0,16.0,0.0,5.0,0.0,15.0,0.0,53.0,0.0,0.0,0.0,0.0
Nashik,P51600005165,HARI LAXMI PHASE II,KBC GLOBAL LIMITED,422101,"('19.206698200000000','77.297978200000000')",New Project,12/30/2024,,,Residential,4903.26,490.55,2452.75,02/23/2024,,,56.0,23.0,0.0,5.0,0.0,15.0,0.0,54.0,0.0,0.0,0.0,0.0
Nashik,P51600009658,Prabhus Atlantis,Pacific Builders,422013,"('21.019162500000000','79.091689500000000')",On-Going Project,03/31/2023,06/30/2023,,Others,5300.0,0.0,14931.05,07/26/2021,,1.0,208.0,124.0,0.0,2.0,2.0,30.0,2.0,102.0,78.0,0.0,0.0,0.0
Nashik,P51600005095,SATYAM HILLS,RAVINDRA BHAUSAHEB MADHAVAI,422003,"('18.457955300000000','73.791910300000000')",On-Going Project,01/21/2022,04/21/2022,10/21/2024,Residential,2418.0,0.0,6018.17,02/04/2022,,,94.0,62.0,2.0,2.0,1.0,14.0,0.0,25.0,62.0,0.0,0.0,0.0
Nashik,P51600008972,SHREE RIDDHI SIDDHI DEVELOPERS,SHREE RIDDHI SIDDHI DEVELOPERS,422010,"('18.457955300000000','73.791910300000000')",On-Going Project,07/27/2018,10/17/2018,,Others,912.0,0.0,1493.43,02/24/2024,,,39.0,39.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0
Nashik,P51600008837,AROHI APARTMENT,NEW AKSHARA CONSTRUCTION,422010,"('18.599079000000000','73.786285200000000')",On-Going Project,12/31/2017,03/31/2018,,Residential,495.0,0.0,692.04,11/24/2022,,,16.0,8.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
